Date,Prediction Using KNN Regression,Prediction Using SVM Regression,Prediction Using ElasticNet,Prediction Using Lasso Regression,Prediction Using Fwd & Bwd Regression,Prediction Using Ridge Regression
8/11/2014,0.804261726,0.75387935,-0.176052738,-0.175639807,-0.175639807,-0.348066478
8/12/2014,0.192299535,-0.032271649,0.728499087,0.726287198,0.726287198,1.194509169
8/13/2014,-0.151367218,0.16055351,-0.502077222,-0.500437055,-0.500437055,-0.880362118
8/14/2014,-0.009221939,0.024413443,0.10581727,0.110518491,0.110518491,0.017903511
8/15/2014,0.420764906,0.439926908,2.124035717,2.126596154,2.126596154,2.569405359
8/18/2014,-0.982523551,-0.779412944,-1.146695723,-1.148557157,-1.148557157,-1.623630509
8/19/2014,0.075146207,-0.104054755,0.167787858,0.172547429,0.172547429,0.259657674
8/20/2014,-0.50934714,-0.429860954,0.60979854,0.609342177,0.609342177,0.718107653
8/21/2014,1.543339821,1.82212103,-0.432206369,-0.431940856,-0.431940856,-0.636358655
8/22/2014,-0.964998923,-1.230600212,-1.190426396,-1.187155008,-1.187155008,-1.700627749
8/25/2014,2.150942649,1.87286756,2.676991291,2.67592377,2.67592377,3.820232797
8/26/2014,-0.748086625,-0.296966384,-0.368903979,-0.375868224,-0.375868224,-0.26639147
8/27/2014,2.065551651,2.128588205,-0.694689274,-0.69385033,-0.69385033,-0.70010182
8/28/2014,-0.970523167,-0.777789787,1.390234118,1.392684706,1.392684706,1.578945066
8/29/2014,0.612555621,0.635308637,0.312459238,0.312548466,0.312548466,0.303051179
9/2/2014,-0.918800952,-0.795692417,-2.079693419,-2.075913811,-2.075913811,-2.808440437
9/3/2014,0.124363792,0.071669435,0.500239485,0.500462912,0.500462912,0.730567846
9/4/2014,-0.909311808,-0.826127536,-0.915946722,-0.91747009,-0.91747009,-1.293247603
9/5/2014,0.373028931,0.322406272,-0.697102152,-0.696683355,-0.696683355,-0.937705946
9/8/2014,-0.21141834,0.045098068,-1.145331357,-1.149290028,-1.149290028,-1.121502416
9/9/2014,-0.533517815,-0.684077818,0.665656727,0.661784773,0.661784773,1.328997264
9/10/2014,0.103855465,-0.077384292,-1.25667527,-1.25430745,-1.25430745,-1.959206307
9/11/2014,-1.155101698,-1.104498399,1.222374828,1.221042238,1.221042238,1.994576137
9/12/2014,-0.816219773,-0.666814093,0.123347429,0.126727804,0.126727804,-0.048385863
9/15/2014,0.089370809,0.175725694,-0.102076432,-0.101826932,-0.101826932,-0.341474986
9/16/2014,1.068569679,1.452578393,-0.433108962,-0.434576239,-0.434576239,-0.62024621
9/17/2014,0.212201226,0.544556444,0.002257047,0.001088034,0.001088034,0.326577604
9/18/2014,-0.786914574,-0.717621799,1.098643055,1.098184626,1.098184626,1.428631073
9/19/2014,-0.084668529,-0.349401236,-0.358826017,-0.358736581,-0.358736581,-0.593044716
9/22/2014,-0.769744066,-0.589835139,0.115734699,0.113703605,0.113703605,0.539079732
9/23/2014,1.015516616,1.23262875,2.232817187,2.231854532,2.231854532,2.530399615
9/24/2014,1.044086546,0.53677802,-0.648129661,-0.652803244,-0.652803244,-0.461955689
9/25/2014,-0.104330802,-0.243591357,-0.604072803,-0.603906294,-0.603906294,-0.663917919
9/26/2014,0.083953774,0.05841218,0.867480198,0.869347228,0.869347228,1.024253844
9/29/2014,0.788303325,0.792038736,1.007034984,1.011053637,1.011053637,1.014614765
9/30/2014,-0.780272189,-0.471668164,0.147307881,0.147725273,0.147725273,0.280548545
10/1/2014,-0.529193818,-0.337665807,-0.822571299,-0.827350575,-0.827350575,-0.883198872
10/2/2014,-0.510492437,-0.586411301,0.337436363,0.340241134,0.340241134,0.345562402
10/3/2014,0.893621339,0.735526202,-0.826741858,-0.826476003,-0.826476003,-1.021548679
10/6/2014,-0.061578399,-0.046310151,1.798797341,1.795591282,1.795591282,2.85203672
10/7/2014,0.842998452,0.845336772,-1.677646713,-1.676008623,-1.676008623,-2.31792407
10/8/2014,-0.068985297,-0.112857278,0.837712044,0.838315408,0.838315408,1.182412879
10/9/2014,0.962115144,0.901353213,0.258232904,0.258818434,0.258818434,0.286128001
10/10/2014,-1.04373491,-0.923589027,-0.235436305,-0.237337574,-0.237337574,-0.096466023
10/14/2014,1.037180781,1.163476438,-0.349469061,-0.350838934,-0.350838934,-0.355942204
10/15/2014,0.393770469,0.224336288,1.242716116,1.243850526,1.243850526,1.760836808
10/16/2014,2.248165067,1.822731204,0.187294128,0.189285927,0.189285927,0.104047901
10/17/2014,-0.719662981,-0.562038128,-0.377953337,-0.375176135,-0.375176135,-0.582600551
10/20/2014,0.234860892,0.353107513,-0.504181181,-0.50567226,-0.50567226,-0.545318691
10/21/2014,-0.199345077,-0.024143936,-1.520927947,-1.523403348,-1.523403348,-1.731189585
